,Device Time,Value,Units
185,2024-12-19 22:46:30,125,mg/dL
186,2024-12-19 22:41:30,127,mg/dL
187,2024-12-19 22:36:30,136,mg/dL
188,2024-12-19 22:31:31,142,mg/dL
189,2024-12-19 22:26:30,141,mg/dL
190,2024-12-19 22:21:30,140,mg/dL
191,2024-12-19 22:16:30,138,mg/dL
192,2024-12-19 22:11:30,135,mg/dL
193,2024-12-19 22:06:30,137,mg/dL
194,2024-12-19 22:01:30,135,mg/dL
195,2024-12-19 21:56:31,134,mg/dL
196,2024-12-19 21:51:30,129,mg/dL
197,2024-12-19 21:46:30,123,mg/dL
198,2024-12-19 21:41:30,115,mg/dL
199,2024-12-19 21:36:30,109,mg/dL
200,2024-12-19 21:31:30,102,mg/dL
201,2024-12-19 21:26:30,98,mg/dL
202,2024-12-19 21:21:31,97,mg/dL
203,2024-12-19 21:16:31,99,mg/dL
204,2024-12-19 21:11:30,100,mg/dL
205,2024-12-19 21:06:30,108,mg/dL
206,2024-12-19 21:01:31,125,mg/dL
207,2024-12-19 20:56:31,147,mg/dL
208,2024-12-19 20:51:30,168,mg/dL
209,2024-12-19 20:46:30,192,mg/dL
210,2024-12-19 20:41:31,206,mg/dL
211,2024-12-19 20:36:32,216,mg/dL
212,2024-12-19 20:31:31,223,mg/dL
213,2024-12-19 20:26:30,230,mg/dL
214,2024-12-19 20:21:30,251,mg/dL
215,2024-12-19 20:16:30,240,mg/dL
216,2024-12-19 20:11:31,257,mg/dL
217,2024-12-19 20:06:31,268,mg/dL
218,2024-12-19 20:01:31,270,mg/dL
219,2024-12-19 19:56:32,270,mg/dL
220,2024-12-19 19:51:31,267,mg/dL
221,2024-12-19 19:46:31,264,mg/dL
222,2024-12-19 19:41:30,257,mg/dL
223,2024-12-19 19:36:30,253,mg/dL
224,2024-12-19 19:31:30,252,mg/dL
225,2024-12-19 19:26:30,252,mg/dL
226,2024-12-19 19:21:32,252,mg/dL
227,2024-12-19 19:16:30,253,mg/dL
228,2024-12-19 19:11:31,249,mg/dL
229,2024-12-19 19:06:30,240,mg/dL
230,2024-12-19 19:01:31,223,mg/dL
231,2024-12-19 18:56:30,235,mg/dL
232,2024-12-19 18:51:31,225,mg/dL
233,2024-12-19 18:46:31,216,mg/dL
234,2024-12-19 18:41:31,204,mg/dL
235,2024-12-19 18:36:30,195,mg/dL
236,2024-12-19 18:31:30,195,mg/dL
237,2024-12-19 18:26:33,191,mg/dL
238,2024-12-19 18:21:30,186,mg/dL
239,2024-12-19 18:16:31,172,mg/dL
240,2024-12-19 18:11:30,154,mg/dL
241,2024-12-19 18:06:30,145,mg/dL
242,2024-12-19 18:01:30,142,mg/dL
243,2024-12-19 17:56:31,138,mg/dL
244,2024-12-19 17:51:33,136,mg/dL
245,2024-12-19 17:46:30,125,mg/dL
246,2024-12-19 17:41:30,119,mg/dL
247,2024-12-19 17:36:30,112,mg/dL
248,2024-12-19 17:31:31,107,mg/dL
249,2024-12-19 17:26:31,109,mg/dL
250,2024-12-19 17:21:31,106,mg/dL
251,2024-12-19 17:16:31,94,mg/dL
252,2024-12-19 17:11:32,87,mg/dL
253,2024-12-19 17:06:31,83,mg/dL
254,2024-12-19 17:01:34,82,mg/dL
255,2024-12-19 16:56:31,81,mg/dL
256,2024-12-19 16:51:31,81,mg/dL
257,2024-12-19 16:46:31,80,mg/dL
258,2024-12-19 16:41:32,79,mg/dL
259,2024-12-19 16:36:31,80,mg/dL
260,2024-12-19 16:31:31,79,mg/dL
261,2024-12-19 16:26:31,77,mg/dL
262,2024-12-19 16:21:31,73,mg/dL
263,2024-12-19 16:16:31,71,mg/dL
264,2024-12-19 16:11:32,70,mg/dL
265,2024-12-19 16:06:31,71,mg/dL
266,2024-12-19 16:01:31,72,mg/dL
267,2024-12-19 15:56:31,75,mg/dL
268,2024-12-19 15:51:31,78,mg/dL
269,2024-12-19 15:46:31,82,mg/dL
270,2024-12-19 15:41:31,77,mg/dL
271,2024-12-19 15:36:31,71,mg/dL
272,2024-12-19 15:31:31,67,mg/dL
273,2024-12-19 15:26:31,63,mg/dL
274,2024-12-19 15:21:31,62,mg/dL
275,2024-12-19 15:16:33,64,mg/dL
276,2024-12-19 15:11:32,67,mg/dL
277,2024-12-19 15:06:33,74,mg/dL
278,2024-12-19 15:01:33,84,mg/dL
279,2024-12-19 14:56:32,96,mg/dL
280,2024-12-19 14:51:32,120,mg/dL
281,2024-12-19 14:46:31,128,mg/dL
282,2024-12-19 14:41:31,139,mg/dL
283,2024-12-19 14:36:31,148,mg/dL
284,2024-12-19 14:06:32,187,mg/dL
285,2024-12-19 14:01:31,186,mg/dL
286,2024-12-19 13:56:31,175,mg/dL
287,2024-12-19 13:51:32,169,mg/dL
288,2024-12-19 13:46:34,156,mg/dL
289,2024-12-19 13:41:31,141,mg/dL
290,2024-12-19 13:36:33,128,mg/dL
291,2024-12-19 13:31:32,117,mg/dL
292,2024-12-19 13:26:31,113,mg/dL
293,2024-12-19 13:21:31,117,mg/dL
294,2024-12-19 13:16:31,117,mg/dL
295,2024-12-19 13:11:32,112,mg/dL
296,2024-12-19 13:06:31,112,mg/dL
297,2024-12-19 13:01:32,113,mg/dL
298,2024-12-19 12:56:34,117,mg/dL
299,2024-12-19 12:51:31,116,mg/dL
300,2024-12-19 12:46:31,117,mg/dL
301,2024-12-19 12:41:32,116,mg/dL
302,2024-12-19 12:36:31,115,mg/dL
303,2024-12-19 12:31:32,115,mg/dL
304,2024-12-19 12:26:32,116,mg/dL
305,2024-12-19 12:21:32,116,mg/dL
306,2024-12-19 12:16:31,114,mg/dL
307,2024-12-19 12:11:32,111,mg/dL
308,2024-12-19 12:06:32,110,mg/dL
309,2024-12-19 12:01:32,108,mg/dL
310,2024-12-19 11:56:33,106,mg/dL
311,2024-12-19 11:51:32,106,mg/dL
312,2024-12-19 11:46:32,107,mg/dL
313,2024-12-19 11:41:32,109,mg/dL
314,2024-12-19 11:36:32,109,mg/dL
315,2024-12-19 11:31:32,112,mg/dL
316,2024-12-19 11:26:32,112,mg/dL
317,2024-12-19 11:21:32,113,mg/dL
318,2024-12-19 11:16:32,111,mg/dL
319,2024-12-19 11:11:32,110,mg/dL
320,2024-12-19 11:06:32,111,mg/dL
321,2024-12-19 11:01:33,113,mg/dL
322,2024-12-19 10:56:33,115,mg/dL
323,2024-12-19 10:51:34,122,mg/dL
324,2024-12-19 10:46:34,119,mg/dL
325,2024-12-19 10:41:33,121,mg/dL
326,2024-12-19 10:36:32,124,mg/dL
327,2024-12-19 10:31:33,128,mg/dL
328,2024-12-19 10:26:32,129,mg/dL
329,2024-12-19 10:21:32,130,mg/dL
330,2024-12-19 10:16:32,130,mg/dL
331,2024-12-19 10:11:32,133,mg/dL
332,2024-12-19 10:06:32,136,mg/dL
333,2024-12-19 10:01:32,139,mg/dL
334,2024-12-19 09:56:32,143,mg/dL
335,2024-12-19 09:51:32,140,mg/dL
336,2024-12-19 09:46:32,148,mg/dL
337,2024-12-19 09:41:32,150,mg/dL
338,2024-12-19 09:36:32,151,mg/dL
339,2024-12-19 09:31:32,155,mg/dL
340,2024-12-19 09:26:32,156,mg/dL
341,2024-12-19 09:21:32,157,mg/dL
342,2024-12-19 09:16:32,157,mg/dL
343,2024-12-19 09:11:32,158,mg/dL
344,2024-12-19 09:06:32,159,mg/dL
345,2024-12-19 09:01:32,156,mg/dL
346,2024-12-19 08:56:32,162,mg/dL
347,2024-12-19 08:51:32,154,mg/dL
348,2024-12-19 08:46:32,145,mg/dL
349,2024-12-19 08:41:32,147,mg/dL
350,2024-12-19 08:36:32,147,mg/dL
351,2024-12-19 08:31:32,143,mg/dL
352,2024-12-19 08:26:32,136,mg/dL
353,2024-12-19 08:21:32,132,mg/dL
354,2024-12-19 08:16:32,127,mg/dL
355,2024-12-19 08:11:32,121,mg/dL
356,2024-12-19 08:06:32,113,mg/dL
357,2024-12-19 08:01:32,102,mg/dL
358,2024-12-19 07:56:32,100,mg/dL
359,2024-12-19 07:51:32,93,mg/dL
360,2024-12-19 07:46:32,75,mg/dL
361,2024-12-19 07:41:32,82,mg/dL
362,2024-12-19 07:36:32,83,mg/dL
363,2024-12-19 07:31:32,88,mg/dL
364,2024-12-19 07:26:32,94,mg/dL
365,2024-12-19 07:21:32,93,mg/dL
366,2024-12-19 07:16:32,81,mg/dL
367,2024-12-19 07:11:32,71,mg/dL
368,2024-12-19 07:06:32,89,mg/dL
369,2024-12-19 07:01:32,88,mg/dL
370,2024-12-19 06:56:32,83,mg/dL
371,2024-12-19 06:51:32,80,mg/dL
372,2024-12-19 06:46:32,79,mg/dL
373,2024-12-19 06:41:32,79,mg/dL
374,2024-12-19 06:36:32,79,mg/dL
375,2024-12-19 06:31:33,69,mg/dL
376,2024-12-19 06:26:32,63,mg/dL
377,2024-12-19 06:21:33,67,mg/dL
378,2024-12-19 06:16:33,67,mg/dL
379,2024-12-19 06:11:33,69,mg/dL
380,2024-12-19 06:06:33,70,mg/dL
381,2024-12-19 06:01:33,70,mg/dL
382,2024-12-19 05:56:33,69,mg/dL
383,2024-12-19 05:51:33,70,mg/dL
384,2024-12-19 05:46:33,75,mg/dL
385,2024-12-19 05:41:33,77,mg/dL
386,2024-12-19 05:36:33,80,mg/dL
387,2024-12-19 05:31:33,82,mg/dL
388,2024-12-19 05:26:33,85,mg/dL
389,2024-12-19 05:21:33,87,mg/dL
390,2024-12-19 05:16:33,90,mg/dL
391,2024-12-19 05:11:34,98,mg/dL
392,2024-12-19 05:06:34,100,mg/dL
393,2024-12-19 05:01:33,109,mg/dL
394,2024-12-19 04:56:33,111,mg/dL
395,2024-12-19 04:51:33,109,mg/dL
396,2024-12-19 04:46:33,104,mg/dL
397,2024-12-19 04:41:33,106,mg/dL
398,2024-12-19 04:36:33,108,mg/dL
399,2024-12-19 04:31:33,114,mg/dL
400,2024-12-19 04:26:33,117,mg/dL
401,2024-12-19 04:21:33,119,mg/dL
402,2024-12-19 04:16:33,122,mg/dL
403,2024-12-19 04:11:33,123,mg/dL
404,2024-12-19 04:06:33,120,mg/dL
405,2024-12-19 04:01:33,123,mg/dL
406,2024-12-19 03:56:33,128,mg/dL
407,2024-12-19 03:51:33,132,mg/dL
408,2024-12-19 03:46:33,137,mg/dL
409,2024-12-19 03:41:33,146,mg/dL
410,2024-12-19 03:36:33,144,mg/dL
411,2024-12-19 03:31:33,148,mg/dL
412,2024-12-19 03:26:33,157,mg/dL
413,2024-12-19 03:21:33,163,mg/dL
414,2024-12-19 03:16:33,167,mg/dL
415,2024-12-19 03:11:33,163,mg/dL
416,2024-12-19 03:06:33,161,mg/dL
417,2024-12-19 03:01:33,169,mg/dL
418,2024-12-19 02:56:33,183,mg/dL
419,2024-12-19 02:51:33,187,mg/dL
420,2024-12-19 02:46:33,190,mg/dL
421,2024-12-19 02:41:33,193,mg/dL
422,2024-12-19 02:36:33,194,mg/dL
423,2024-12-19 02:31:33,197,mg/dL
424,2024-12-19 02:26:33,199,mg/dL
425,2024-12-19 02:21:33,202,mg/dL
426,2024-12-19 02:16:33,200,mg/dL
427,2024-12-19 02:11:33,195,mg/dL
428,2024-12-19 02:06:33,197,mg/dL
429,2024-12-19 02:01:33,199,mg/dL
430,2024-12-19 01:56:34,201,mg/dL
431,2024-12-19 01:51:34,203,mg/dL
432,2024-12-19 01:46:33,208,mg/dL
433,2024-12-19 01:41:34,218,mg/dL
434,2024-12-19 01:36:33,217,mg/dL
435,2024-12-19 01:31:33,216,mg/dL
436,2024-12-19 01:26:33,216,mg/dL
437,2024-12-19 01:21:33,219,mg/dL
438,2024-12-19 01:16:33,224,mg/dL
439,2024-12-19 01:11:33,228,mg/dL
440,2024-12-19 01:06:33,229,mg/dL
441,2024-12-19 01:01:33,228,mg/dL
442,2024-12-19 00:56:33,223,mg/dL
443,2024-12-19 00:51:33,203,mg/dL
444,2024-12-19 00:46:33,198,mg/dL
445,2024-12-19 00:41:33,194,mg/dL
446,2024-12-19 00:36:34,200,mg/dL
447,2024-12-19 00:31:34,204,mg/dL
448,2024-12-19 00:26:34,208,mg/dL
449,2024-12-19 00:21:34,221,mg/dL
450,2024-12-19 00:16:34,215,mg/dL
451,2024-12-19 00:11:34,208,mg/dL
452,2024-12-19 00:06:34,201,mg/dL
453,2024-12-19 00:01:34,191,mg/dL
454,2024-12-18 23:56:34,201,mg/dL
455,2024-12-18 23:51:34,221,mg/dL
456,2024-12-18 23:46:34,229,mg/dL
457,2024-12-18 23:41:34,232,mg/dL
458,2024-12-18 23:36:34,224,mg/dL
459,2024-12-18 23:31:34,220,mg/dL
460,2024-12-18 23:26:34,216,mg/dL
461,2024-12-18 23:21:34,208,mg/dL
462,2024-12-18 23:16:34,195,mg/dL
463,2024-12-18 23:11:34,185,mg/dL
464,2024-12-18 23:06:34,174,mg/dL
465,2024-12-18 23:01:34,163,mg/dL
466,2024-12-18 22:56:34,159,mg/dL
467,2024-12-18 22:51:34,169,mg/dL
468,2024-12-18 22:46:34,178,mg/dL
469,2024-12-18 22:41:34,171,mg/dL
470,2024-12-18 22:36:34,154,mg/dL
471,2024-12-18 22:31:34,140,mg/dL
472,2024-12-18 22:26:34,127,mg/dL
473,2024-12-18 22:21:34,123,mg/dL
474,2024-12-18 22:16:34,128,mg/dL
475,2024-12-18 22:11:34,126,mg/dL
476,2024-12-18 22:06:34,124,mg/dL
477,2024-12-18 22:01:34,109,mg/dL
478,2024-12-18 21:56:35,99,mg/dL
479,2024-12-18 21:51:34,87,mg/dL
480,2024-12-18 21:46:34,73,mg/dL
481,2024-12-18 21:41:34,75,mg/dL
482,2024-12-18 21:36:34,73,mg/dL
483,2024-12-18 21:31:34,72,mg/dL
484,2024-12-18 21:26:34,66,mg/dL
485,2024-12-18 21:21:34,54,mg/dL
486,2024-12-18 21:16:34,50,mg/dL
487,2024-12-18 21:11:34,46,mg/dL
488,2024-12-18 21:06:34,48,mg/dL
489,2024-12-18 21:01:34,53,mg/dL
490,2024-12-18 20:56:34,58,mg/dL
491,2024-12-18 20:51:35,57,mg/dL
492,2024-12-18 20:46:34,55,mg/dL
493,2024-12-18 20:41:35,52,mg/dL
494,2024-12-18 20:36:35,50,mg/dL
495,2024-12-18 20:31:34,50,mg/dL
496,2024-12-18 20:26:34,50,mg/dL
497,2024-12-18 20:21:35,45,mg/dL
498,2024-12-18 20:16:34,41,mg/dL
499,2024-12-18 20:11:34,44,mg/dL
500,2024-12-18 20:06:35,56,mg/dL
501,2024-12-18 20:01:34,57,mg/dL
502,2024-12-18 19:56:35,59,mg/dL
503,2024-12-18 19:51:35,54,mg/dL
504,2024-12-18 19:46:35,47,mg/dL
505,2024-12-18 19:41:35,48,mg/dL
506,2024-12-18 19:36:34,44,mg/dL
507,2024-12-18 19:31:35,42,mg/dL
508,2024-12-18 19:26:35,43,mg/dL
509,2024-12-18 19:21:34,41,mg/dL
510,2024-12-18 19:16:34,44,mg/dL
511,2024-12-18 19:11:35,43,mg/dL
512,2024-12-18 19:06:35,40,mg/dL
513,2024-12-18 19:01:35,43,mg/dL
514,2024-12-18 18:56:35,47,mg/dL
515,2024-12-18 18:51:35,53,mg/dL
516,2024-12-18 18:46:35,56,mg/dL
517,2024-12-18 18:41:35,62,mg/dL
518,2024-12-18 18:36:35,69,mg/dL
519,2024-12-18 18:31:35,81,mg/dL
520,2024-12-18 18:26:35,94,mg/dL
521,2024-12-18 18:21:35,106,mg/dL
522,2024-12-18 18:16:35,110,mg/dL
523,2024-12-18 18:11:35,119,mg/dL
524,2024-12-18 18:06:35,126,mg/dL
525,2024-12-18 18:01:35,129,mg/dL
526,2024-12-18 17:56:35,127,mg/dL
527,2024-12-18 17:51:37,116,mg/dL
528,2024-12-18 17:46:35,105,mg/dL
529,2024-12-18 17:41:36,99,mg/dL
530,2024-12-18 17:36:35,93,mg/dL
531,2024-12-18 17:31:35,95,mg/dL
532,2024-12-18 17:26:35,100,mg/dL
533,2024-12-18 17:21:36,103,mg/dL
534,2024-12-18 17:16:36,106,mg/dL
535,2024-12-18 17:11:35,105,mg/dL
536,2024-12-18 17:06:35,106,mg/dL
537,2024-12-18 17:01:37,107,mg/dL
538,2024-12-18 16:56:35,115,mg/dL
539,2024-12-18 16:51:35,120,mg/dL
540,2024-12-18 16:46:39,121,mg/dL
541,2024-12-18 16:41:39,124,mg/dL
542,2024-12-18 16:36:39,127,mg/dL
543,2024-12-18 16:31:35,131,mg/dL
544,2024-12-18 16:26:36,132,mg/dL
545,2024-12-18 16:21:36,132,mg/dL
546,2024-12-18 16:16:35,130,mg/dL
547,2024-12-18 16:11:36,127,mg/dL
548,2024-12-18 16:06:36,123,mg/dL
549,2024-12-18 16:01:38,120,mg/dL
550,2024-12-18 15:56:40,117,mg/dL
551,2024-12-18 15:51:35,118,mg/dL
552,2024-12-18 15:46:36,129,mg/dL
553,2024-12-18 15:41:39,150,mg/dL
554,2024-12-18 15:36:35,164,mg/dL
555,2024-12-18 15:31:35,168,mg/dL
556,2024-12-18 15:26:35,166,mg/dL
557,2024-12-18 15:21:35,165,mg/dL
558,2024-12-18 15:16:35,175,mg/dL
559,2024-12-18 15:11:36,174,mg/dL
560,2024-12-18 15:06:35,173,mg/dL
561,2024-12-18 15:01:36,177,mg/dL
562,2024-12-18 14:56:36,187,mg/dL
563,2024-12-18 14:51:35,201,mg/dL
564,2024-12-18 14:46:35,217,mg/dL
565,2024-12-18 14:41:36,230,mg/dL
566,2024-12-18 14:36:36,241,mg/dL
567,2024-12-18 14:31:36,252,mg/dL
568,2024-12-18 14:26:36,262,mg/dL
569,2024-12-18 14:21:36,272,mg/dL
570,2024-12-18 14:16:35,285,mg/dL
571,2024-12-18 14:11:36,293,mg/dL
572,2024-12-18 14:06:36,305,mg/dL
573,2024-12-18 14:01:36,318,mg/dL
574,2024-12-18 13:56:35,328,mg/dL
575,2024-12-18 13:51:35,343,mg/dL
576,2024-12-18 13:46:36,347,mg/dL
577,2024-12-18 13:41:36,352,mg/dL
578,2024-12-18 13:36:36,356,mg/dL
579,2024-12-18 13:31:36,356,mg/dL
580,2024-12-18 13:26:36,340,mg/dL
581,2024-12-18 13:21:36,331,mg/dL
582,2024-12-18 13:16:36,322,mg/dL
583,2024-12-18 13:11:36,308,mg/dL
584,2024-12-18 13:06:36,298,mg/dL
585,2024-12-18 13:01:36,292,mg/dL
586,2024-12-18 12:56:36,291,mg/dL
587,2024-12-18 12:31:36,207,mg/dL
588,2024-12-18 12:26:37,225,mg/dL
589,2024-12-18 12:21:41,218,mg/dL
590,2024-12-18 12:16:38,211,mg/dL
591,2024-12-18 12:11:36,208,mg/dL
592,2024-12-18 12:06:36,206,mg/dL
593,2024-12-18 12:01:36,205,mg/dL
594,2024-12-18 11:56:36,208,mg/dL
595,2024-12-18 11:51:36,210,mg/dL
596,2024-12-18 11:46:36,206,mg/dL
597,2024-12-18 11:41:36,205,mg/dL
598,2024-12-18 11:36:36,198,mg/dL
599,2024-12-18 11:31:36,188,mg/dL
600,2024-12-18 11:26:36,177,mg/dL
601,2024-12-18 11:21:36,169,mg/dL
602,2024-12-18 11:16:36,162,mg/dL
603,2024-12-18 11:11:37,155,mg/dL
604,2024-12-18 11:06:36,150,mg/dL
605,2024-12-18 11:01:37,147,mg/dL
606,2024-12-18 10:56:36,145,mg/dL
